category,item,attribute,answer,page_url
countries,Italy,Prime Minister of Italy,Giorgia Meloni,https://en.wikipedia.org/wiki/Italy
countries,China,Premier of the People's Republic of China,Li Qiang,https://en.wikipedia.org/wiki/China
countries,France,Prime Minister of France,Sébastien Lecornu,https://en.wikipedia.org/wiki/France
countries,Netherlands,Prime Minister of the Netherlands,Dick Schoof,https://en.wikipedia.org/wiki/Dick_Schoof
countries,Belgium,Prime Minister of Belgium,Bart De Wever,https://en.wikipedia.org/wiki/Belgium
countries,United States of America,President of the United States,Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
countries,Germany,Federal Chancellor of Germany,Friedrich Merz,https://en.wikipedia.org/wiki/Germany
countries,United Kingdom,monarch of the United Kingdom,Charles III,https://en.wikipedia.org/wiki/United_Kingdom
countries,United Kingdom,Prime Minister of the United Kingdom,Keir Starmer,https://en.wikipedia.org/wiki/United_Kingdom
countries,Brazil,President of Brazil,Luiz Inácio Lula da Silva,https://en.wikipedia.org/wiki/Brazil
countries,Canada,monarch of the United Kingdom,Charles III,https://en.wikipedia.org/wiki/Charles_III
countries,Canada,Prime Minister of Canada,Mark Carney,https://en.wikipedia.org/wiki/Mark_Carney
countries,Australia,monarch of Australia,Charles III,https://en.wikipedia.org/wiki/Australia
countries,Australia,Prime Minister of Australia,Anthony Albanese,https://en.wikipedia.org/wiki/Australia
countries,Israel,President of Israel,Isaac Herzog,https://en.wikipedia.org/wiki/Isaac_Herzog
countries,United Arab Emirates,President of the United Arab Emirates,Mohammed Bin Zayed Al Nahyan,https://en.wikipedia.org/wiki/United_Arab_Emirates
countries,Singapore,President of Singapore,Tharman Shanmugaratnam,https://en.wikipedia.org/wiki/Tharman_Shanmugaratnam
countries,Singapore,Prime Minister of Singapore,Lawrence Wong,https://en.wikipedia.org/wiki/Singapore
countries,Bangladesh,Prime Minister of Bangladesh,Muhammad Yunus,https://en.wikipedia.org/wiki/Bangladesh
countries,Philippines,President of the Philippines,Bongbong Marcos,https://en.wikipedia.org/wiki/Philippines
countries,Denmark,monarch of Denmark,Frederik X of Denmark,https://en.wikipedia.org/wiki/Denmark
countries,Finland,President of Finland,Alexander Stubb,https://en.wikipedia.org/wiki/Finland
countries,Finland,Prime Minister of Finland,Petteri Orpo,https://en.wikipedia.org/wiki/Finland
countries,Portugal,Prime Minister of Portugal,Luís Montenegro,https://en.wikipedia.org/wiki/Portugal
countries,India,President of India,Droupadi Murmu,https://en.wikipedia.org/wiki/Droupadi_Murmu
countries,Indonesia,President of Indonesia,Prabowo Subianto,https://en.wikipedia.org/wiki/Prabowo_Subianto
countries,Poland,Prime Minister of Poland,Donald Tusk,https://en.wikipedia.org/wiki/Poland
countries,Austria,Federal Chancellor of Austria,Christian Stocker,https://en.wikipedia.org/wiki/Austria
countries,Malaysia,King of Malaysia,Ibrahim Iskandar of Johor,https://en.wikipedia.org/wiki/Malaysia
countries,Malaysia,Prime Minister of Malaysia,Anwar Ibrahim,https://en.wikipedia.org/wiki/Malaysia
countries,Iran,President of Iran,Masoud Pezeshkian,https://en.wikipedia.org/wiki/Iran
countries,Colombia,President of Colombia,Gustavo Petro,https://en.wikipedia.org/wiki/Colombia
countries,Romania,Prime Minister of Romania,Ilie Bolojan,https://en.wikipedia.org/wiki/Romania
countries,Chile,President of Chile,Gabriel Boric,https://en.wikipedia.org/wiki/Chile
countries,Pakistan,President of Pakistan,Asif Ali Zardari,https://en.wikipedia.org/wiki/Pakistan
countries,Pakistan,Prime Minister of Pakistan,Shehbaz Sharif,https://en.wikipedia.org/wiki/Pakistan
countries,Czech Republic,President of the Czech Republic,Petr Pavel,https://en.wikipedia.org/wiki/Czech_Republic
countries,Iraq,President of Iraq,Abdul Latif Rashid,https://en.wikipedia.org/wiki/Iraq
countries,Iraq,Prime Minister of Iraq,Muhammad Shia' al-Sudani,https://en.wikipedia.org/wiki/Iraq
athletes,Lionel Messi,Sports Team,Inter Miami CF,https://en.wikipedia.org/wiki/Lionel_Messi
athletes,Neymar Jr.,Sports Team,Santos F.C.,https://en.wikipedia.org/wiki/Neymar_Jr.
